generation,phase,best_fitness,mean_fitness,best_iou,hold_score,stability_score,stabilized_success,first_reach_step,hold_length,run_status,benchmark_target_best_stabilized,benchmark_target_best_mean_final_iou,mini_transfer_mean_best_iou,mini_transfer_mean_final_iou,mini_transfer_success_rate,mini_transfer_variance,mini_transfer_score,champion_score,champion_source,target_coverage_best,target_coverage_mean,area_ratio_mean,bar_coverage_best,trunk_coverage_best,top_bar_score,trunk_coverage_score,coverage_penalty,sparse_collapse_penalty,empty_collapse_penalty,collapse_gate,sparse_population_share,sparse_collapse_flag,top_bar_alignment_score,trunk_alignment_score,junction_score,off_axis_penalty,side_clutter_penalty,bar_endpoint_clutter,early_sparse_penalty,late_t_penalty,late_regression_flag,late_structure_penalty,pseudo_t_penalty
1,phase_T,-1.262315760127222,-2.026188752979254,0.1791044776119403,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.48,0.145,1.2341666666666666,0.0,0.0,0.0,0.0,0.08400000000000007,0.108,0.0,1.0,0.9583333333333334,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,phase_T,-1.1284713490550535,-1.9662279192070748,0.16363636363636364,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.36,0.12333333333333334,1.125,0.0,0.0,0.0,0.0,0.22800000000000006,0.216,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,phase_T,-1.2023140776522336,-1.944672314646817,0.0975609756097561,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.16,0.13083333333333333,1.0958333333333334,0.0,0.0,0.0,0.0,0.46799999999999997,0.39599999999999996,0.0,1.0,0.9791666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,phase_T,-0.927529585658531,-1.9780004008260619,0.12121212121212122,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.16,0.12333333333333334,0.9991666666666666,0.0,0.0,0.0,0.0,0.46799999999999997,0.39599999999999996,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,phase_T,-0.9936628141548246,-1.936948125562715,0.20270270270270271,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6,0.1075,0.9058333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9583333333333334,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,phase_T,-0.8894677464384344,-1.890263548441494,0.125,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.16,0.1125,0.815,0.0,0.0,0.0,0.0,0.46799999999999997,0.39599999999999996,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,phase_T,-0.7828886596659446,-1.8157532725512933,0.1388888888888889,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.2,0.17666666666666667,1.1716666666666666,0.0,0.0,0.0,0.0,0.42000000000000004,0.36,0.0,1.0,0.9375,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,phase_T,-0.5607756601065602,-1.658203124561945,0.2191780821917808,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.64,0.19166666666666665,1.2674999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9583333333333334,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,phase_T,-0.20436867279981707,-1.5987634129302581,0.2631578947368421,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.4,0.18500000000000003,1.02,0.0,0.0,0.0,0.0,0.18000000000000002,0.17999999999999997,0.0,1.0,0.9166666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,phase_T,-0.17280499456318893,-1.5118638788159344,0.2682926829268293,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.44,0.17500000000000002,0.9158333333333334,0.0,0.0,0.0,0.0,0.13200000000000003,0.144,0.0,1.0,0.9791666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,phase_T,-0.16033965555427435,-1.5807419520515829,0.23404255319148937,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.44,0.2525,1.4591666666666667,0.0,0.0,0.0,0.0,0.13200000000000003,0.144,0.0,1.0,0.8125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,phase_T,-0.016381036314909878,-1.5009610761959937,0.3,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.48,0.2816666666666667,1.5191666666666668,0.0,0.0,0.0,0.0,0.08400000000000007,0.108,0.0,1.0,0.7916666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,phase_T,-0.20819182362989028,-1.426757561100959,0.2127659574468085,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.4,0.285,1.4908333333333335,0.0,0.0,0.0,0.0,0.18000000000000002,0.17999999999999997,0.0,1.0,0.8333333333333334,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,phase_T,0.24623728926104996,-1.614122171665305,0.40540540540540543,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6,0.18833333333333335,0.9533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8958333333333334,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,phase_T,0.15264408075284086,-1.4959734376179246,0.3783783783783784,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.56,0.2791666666666667,1.3975,0.0,0.0,0.0,0.0,0.0,0.035999999999999935,0.0,1.0,0.8125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
