generation,phase,best_fitness,mean_fitness,best_iou,hold_score,stability_score,stabilized_success,first_reach_step,hold_length,run_status,benchmark_target_best_stabilized,benchmark_target_best_mean_final_iou,mini_transfer_mean_best_iou,mini_transfer_mean_final_iou,mini_transfer_success_rate,mini_transfer_variance,mini_transfer_score,champion_score,champion_source,target_coverage_best,target_coverage_mean,area_ratio_mean,bar_coverage_best,trunk_coverage_best,top_bar_score,trunk_coverage_score,coverage_penalty,sparse_collapse_penalty,empty_collapse_penalty,collapse_gate,sparse_population_share,sparse_collapse_flag,top_bar_alignment_score,trunk_alignment_score,junction_score,off_axis_penalty,side_clutter_penalty,bar_endpoint_clutter,early_sparse_penalty,late_t_penalty,late_regression_flag,late_structure_penalty,pseudo_t_penalty
1,phase_cross,-0.4064615910921818,-2.0036360949524994,0.28846153846153844,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5357142857142857,0.0859375,0.32180059523809523,0.0,0.0,0.0,0.0,0.017142857142857213,0.05785714285714285,0.0,1.0,0.9791666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,phase_cross,-0.5011658469917144,-1.7742016957811064,0.27358490566037735,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5178571428571429,0.15438988095238096,0.5226934523809524,0.0,0.0,0.0,0.0,0.03857142857142857,0.07392857142857137,0.0,1.0,0.9791666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,phase_cross,-0.4600232640094365,-1.6812470250900742,0.27884615384615385,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5178571428571429,0.19345238095238096,0.7064732142857143,0.0,0.0,0.0,0.0,0.03857142857142857,0.07392857142857137,0.0,1.0,0.9583333333333334,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,phase_cross,0.1976793732537687,-1.6092097879630962,0.38461538461538464,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5357142857142857,0.1875,0.6075148809523809,0.0,0.0,0.0,0.0,0.017142857142857213,0.05785714285714285,0.0,1.0,0.9166666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,phase_cross,-0.5112265339107883,-1.6843548275321563,0.27102803738317754,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5178571428571429,0.19680059523809523,0.6904761904761906,0.0,0.0,0.0,0.0,0.03857142857142857,0.07392857142857137,0.0,1.0,0.9375,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,phase_cross,-0.3056695216807866,-1.6362145082469046,0.3253968253968254,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.7321428571428571,0.23363095238095236,0.8165922619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,phase_cross,-0.30187855853740264,-1.6785504752942504,0.3025210084033613,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6428571428571429,0.17261904761904764,0.5870535714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,phase_cross,0.3096522150962724,-1.5507831166985795,0.3764705882352941,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5714285714285714,0.23139880952380953,0.7537202380952381,0.0,0.0,0.0,0.0,0.0,0.025714285714285724,0.0,1.0,0.8333333333333334,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,phase_cross,-0.3808373069132376,-1.6530482223681469,0.3308270676691729,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.7857142857142857,0.1912202380952381,0.6484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9375,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,phase_cross,-0.3651923849672551,-1.5917895440176135,0.3125,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.7142857142857143,0.25558035714285715,0.9296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
